consumable_id,consumable_name,consumable_expiration_date,consumable_initial_date,consumable_quantity,consumable_price,consumable_calories,consumable_allergen,supplier_id
1,Chicken,2025-11-10,2025-10-31,10,5.99,165,none,NULL
2,Beef,2025-11-12,2025-10-30,8,6.49,250,none,NULL
3,Pork,2025-11-08,2025-10-29,6,5.29,242,none,NULL
4,Salmon,2025-11-05,2025-10-31,4,9.99,208,fish,NULL
5,Shrimp,2025-11-06,2025-10-30,5,12.49,99,shellfish,NULL
6,Bacon,2025-11-15,2025-10-28,7,4.99,43,none,NULL
7,Lobster,2025-11-04,2025-10-31,3,19.99,89,shellfish,NULL
8,"Ground beef",2025-11-09,2025-10-30,10,5.79,270,none,NULL
9,"Cream cheese",2025-11-20,2025-10-25,6,3.49,99,dairy,NULL
10,Mozzarella,2025-11-18,2025-10-27,5,4.29,85,dairy,NULL
11,Parmesan,2025-12-01,2025-10-26,4,6.99,110,dairy,NULL
12,Ricotta,2025-11-22,2025-10-28,3,3.99,174,dairy,NULL
13,"Goat cheese",2025-11-25,2025-10-29,2,5.49,103,dairy,NULL
14,"Sour cream",2025-11-19,2025-10-30,4,2.99,60,dairy,NULL
15,Butter,2025-12-05,2025-10-25,6,3.79,102,dairy,NULL
16,Milk,2025-11-07,2025-10-31,8,2.49,150,dairy,NULL
17,"Heavy cream",2025-11-10,2025-10-30,3,3.99,52,dairy,NULL
18,Spinach,2025-11-03,2025-10-31,5,1.99,23,none,NULL
19,"Artichoke hearts",2025-12-10,2025-10-30,2,4.59,60,none,NULL
20,Mushrooms,2025-11-06,2025-10-31,6,2.49,22,none,NULL
21,Tomatoes,2025-11-05,2025-10-31,10,1.89,18,none,NULL
22,Basil,2025-11-15,2025-10-30,3,1.29,5,none,NULL
23,Garlic,2025-12-01,2025-10-29,4,0.99,4,none,NULL
24,Onions,2025-11-20,2025-10-28,7,1.49,40,none,NULL
25,Carrots,2025-11-10,2025-10-31,6,1.29,25,none,NULL
26,Celery,2025-11-08,2025-10-30,5,1.19,16,none,NULL
27,"Bell peppers",2025-11-09,2025-10-31,6,1.99,30,none,NULL
28,Asparagus,2025-11-07,2025-10-30,4,3.49,20,none,NULL
29,Zucchini,2025-11-06,2025-10-31,5,1.79,17,none,NULL
30,Potatoes,2025-12-15,2025-10-25,10,2.49,130,none,NULL
31,Lettuce,2025-11-03,2025-10-31,5,1.49,15,none,NULL
32,Cabbage,2025-11-10,2025-10-30,4,1.29,22,none,NULL
33,Ginger,2025-12-01,2025-10-29,3,2.99,80,none,NULL
34,Scallions,2025-11-05,2025-10-31,6,1.19,32,none,NULL
35,Dates,2025-12-15,2025-10-25,5,4.99,277,none,NULL
36,Apples,2025-11-20,2025-10-30,8,0.99,95,none,NULL
