violationid,staffid,violationtype,severitylevel,description_violation_details,violationdate,correctiveactiontaken
1,20,"Unsafe Knife Use",Low,"Observed handling raw meat without gloves",2024-12-11,1
2,29,"Dress Code Violation",High,"creating a slip hazard.",2023-03-18,1
3,27,"Late Arrival",Low,"Failed to wash hands after handling raw poultry",2024-05-11,1
4,27,"Improper Food Handling",Low,"Failed to wash hands after handling raw poultry",2023-01-25,1
5,8,"Unsafe Knife Use",Low,"creating a slip hazard.",2024-04-16,0
6,9,"Unsafe Knife Use",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-02-05,1
7,15,"Missed Sanitation Log",High,"Staff failed to log sanitation duties",2023-03-21,1
8,4,"Unsafe Knife Use",High,"Observed handling raw meat without gloves",2025-07-06,1
9,20,"Unsafe Knife Use",High,"Staff failed to log sanitation duties",2025-11-04,0
10,14,"Unsafe Knife Use",Low,"Observed handling raw meat without gloves",2024-04-20,0
11,30,"Late Arrival",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-07-01,1
12,14,"Unsafe Knife Use",High,"Observed handling raw meat without gloves",2024-08-12,0
13,29,"Improper Food Handling",Moderate,"Failed to wash hands after handling raw poultry",2026-09-10,1
14,26,"Missed Sanitation Log",Moderate,"Staff failed to log sanitation duties",2024-11-01,0
15,30,"Improper Food Handling",Moderate,"Failed to wash hands after handling raw poultry",2026-02-16,0
16,18,"Dress Code Violation",High,"Staff failed to log sanitation duties",2025-08-06,0
17,26,"Missed Sanitation Log",Low,"creating a slip hazard.",2026-03-14,1
18,21,"Improper Food Handling",Moderate,"Observed handling raw meat without gloves",2023-04-24,1
19,4,"Improper Food Handling",Moderate,"creating a slip hazard.",2023-06-24,1
20,20,"Late Arrival",High,"Staff failed to log sanitation duties",2026-04-02,0
21,19,"Unsafe Knife Use",Moderate,"Failed to wash hands after handling raw poultry",2023-12-13,0
22,10,"Unsafe Knife Use",High,"Observed handling raw meat without gloves",2023-09-01,1
23,19,"Late Arrival",High,"Failed to wash hands after handling raw poultry",2025-11-13,0
24,5,"Missed Sanitation Log",Low,"Failed to wash hands after handling raw poultry",2026-07-08,0
25,7,"Late Arrival",Low,"Observed handling raw meat without gloves",2025-01-13,1
26,10,"Unsafe Knife Use",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2024-02-07,0
27,2,"Dress Code Violation",High,"Failed to wash hands after handling raw poultry",2026-08-21,0
28,3,"Missed Sanitation Log",Moderate,"Observed handling raw meat without gloves",2024-04-14,0
29,23,"Missed Sanitation Log",Moderate,"Staff failed to log sanitation duties",2025-12-21,1
30,14,"Late Arrival",Low,"Staff failed to log sanitation duties",2026-07-12,0
31,26,"Late Arrival",Moderate,"creating a slip hazard.",2025-07-11,1
32,28,"Dress Code Violation",Moderate,"Failed to wash hands after handling raw poultry",2026-08-23,0
33,16,"Unsafe Knife Use",Moderate,"creating a slip hazard.",2026-12-16,0
34,12,"Dress Code Violation",High,"Observed handling raw meat without gloves",2024-02-14,0
35,24,"Unsafe Knife Use",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2025-04-17,0
36,6,"Unsafe Knife Use",Low,"Observed handling raw meat without gloves",2025-06-27,1
37,1,"Improper Food Handling",High,"Observed handling raw meat without gloves",2025-06-03,0
38,15,"Missed Sanitation Log",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-07-22,0
39,28,"Dress Code Violation",Low,"Staff failed to log sanitation duties",2025-12-12,0
40,18,"Improper Food Handling",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2026-11-01,1
41,16,"Improper Food Handling",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2024-05-03,1
42,10,"Improper Food Handling",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2026-08-29,1
43,11,"Dress Code Violation",Moderate,"Observed handling raw meat without gloves",2025-09-13,0
44,1,"Unsafe Knife Use",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-10-10,0
45,19,"Improper Food Handling",Moderate,"Observed handling raw meat without gloves",2023-08-15,1
46,14,"Unsafe Knife Use",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2025-10-24,0
47,27,"Late Arrival",High,"Failed to wash hands after handling raw poultry",2024-02-25,0
48,29,"Late Arrival",Low,"creating a slip hazard.",2024-03-22,0
49,19,"Unsafe Knife Use",High,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2025-03-09,0
50,29,"Late Arrival",Moderate,"Staff failed to log sanitation duties",2024-04-25,1
51,8,"Missed Sanitation Log",Moderate,"creating a slip hazard.",2024-01-18,0
52,23,"Missed Sanitation Log",High,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2026-09-07,1
53,16,"Late Arrival",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2025-04-22,1
54,23,"Dress Code Violation",Moderate,"creating a slip hazard.",2026-05-12,0
55,11,"Improper Food Handling",Low,"Failed to wash hands after handling raw poultry",2026-04-30,1
56,22,"Late Arrival",High,"Observed handling raw meat without gloves",2026-08-05,1
57,24,"Unsafe Knife Use",High,"Staff failed to log sanitation duties",2026-11-19,1
58,29,"Improper Food Handling",Moderate,"Staff failed to log sanitation duties",2026-04-19,1
59,3,"Missed Sanitation Log",High,"Observed handling raw meat without gloves",2024-05-06,0
60,7,"Dress Code Violation",High,"Staff failed to log sanitation duties",2024-05-14,0
61,23,"Missed Sanitation Log",High,"Staff failed to log sanitation duties",2023-06-25,1
62,27,"Unsafe Knife Use",High,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-12-16,0
63,4,"Late Arrival",Low,"Staff failed to log sanitation duties",2023-12-11,1
64,1,"Unsafe Knife Use",High,"Observed handling raw meat without gloves",2025-04-29,1
65,21,"Missed Sanitation Log",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2025-01-04,1
66,12,"Improper Food Handling",Low,"creating a slip hazard.",2026-05-25,0
67,21,"Improper Food Handling",High,"Staff failed to log sanitation duties",2025-07-02,0
68,15,"Improper Food Handling",Low,"Observed handling raw meat without gloves",2025-07-11,0
69,20,"Unsafe Knife Use",Low,"creating a slip hazard.",2025-07-28,0
70,19,"Missed Sanitation Log",Moderate,"Failed to wash hands after handling raw poultry",2023-03-08,0
71,2,"Dress Code Violation",Moderate,"Observed handling raw meat without gloves",2024-11-19,0
72,18,"Dress Code Violation",Moderate,"creating a slip hazard.",2026-06-21,1
73,8,"Missed Sanitation Log",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-03-01,1
74,19,"Late Arrival",Moderate,"creating a slip hazard.",2025-06-09,0
75,4,"Dress Code Violation",Low,"Staff failed to log sanitation duties",2023-09-29,1
76,10,"Late Arrival",Low,"Observed handling raw meat without gloves",2024-07-30,1
77,29,"Dress Code Violation",Low,"Observed handling raw meat without gloves",2024-10-18,1
78,4,"Unsafe Knife Use",Low,"Failed to wash hands after handling raw poultry",2024-05-11,1
79,11,"Dress Code Violation",Moderate,"Observed handling raw meat without gloves",2023-09-01,1
80,17,"Late Arrival",Moderate,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2026-09-12,1
81,27,"Dress Code Violation",High,"creating a slip hazard.",2026-12-20,0
82,1,"Late Arrival",High,"creating a slip hazard.",2024-11-16,0
83,22,"Unsafe Knife Use",Moderate,"creating a slip hazard.",2024-09-27,0
84,3,"Dress Code Violation",Moderate,"creating a slip hazard.",2023-10-09,0
85,11,"Dress Code Violation",High,"Staff failed to log sanitation duties",2025-02-18,0
86,29,"Dress Code Violation",Moderate,"Observed handling raw meat without gloves",2026-07-24,1
87,8,"Improper Food Handling",Low,"observed during lunch prep. Left mop bucket unattended in high-traffic area",2023-08-12,1
88,9,"Dress Code Violation",High,"Staff failed to log sanitation duties",2025-06-02,1
89,18,"Unsafe Knife Use",High,"Staff failed to log sanitation duties",2026-05-19,0
90,16,"Dress Code Violation",Low,"Staff failed to log sanitation duties",2025-01-09,1
